# The Kid Computer dictionary
#
# Format: word <TAB> part of speech <TAB> definition
# One line per sense, sorted by word. Edit or delete lines freely; the lookup
# script reads this file directly and nothing needs rebuilding.
#
# Rebuild from source with tools/build-dictionary.py
#
# Definitions come from Simple English Wiktionary
# (https://simple.wiktionary.org), used under CC BY-SA 4.0
# (https://creativecommons.org/licenses/by-sa/4.0/). Text has been
# filtered and truncated; see tools/build-dictionary.py for exactly how.
# Derived text remains under CC BY-SA 4.0.
a-	prefix	a- is a prefix that means "not". When put in front of a word, the meaning of that word reverses.
oceanography	noun	Oceanography is the study of oceans and the ocean floor.
oceanology	noun	Oceanology is the study of oceans and the ocean floor.
oceans	noun	The plural form of ocean; more than one (kind of) ocean.
ocelot	noun	A small wild cat with a yellowish-brown coat covered in black spots and stripes, native to Central and South America.
ocelots	noun	The plural form of ocelot; more than one (kind of) ocelot.
ocha	noun	tea.
ochre	noun	Ochre is a yellowish-orange color.
ochres	noun	The plural form of ochre; more than one (kind of) ochre.
oct	abbrev	October (the month).
octadecagon	noun	A octadecagon is a shape with eighteen sides.
octadecagons	noun	The plural form of octadecagon; more than one (kind of) octadecagon.
octadecahedra	noun	The plural form of octadecahedron; more than one (kind of) octadecahedron.
octadecahedron	noun	A octadecahedron is a polyhedron with eighteen faces.
octadecahedrons	noun	The plural form of octadecahedron; more than one (kind of) octadecahedron.
octagon	noun	An octagon (⯄) is a shape that has 8 sides and 8 angles.
octagons	noun	The plural form of octagon; more than one (kind of) octagon.
octahedra	noun	The plural form of octahedron; more than one (kind of) octahedron.
octahedron	noun	An octahedron is a polyhedron with eight faces.
octahedrons	noun	The plural form of octahedron; more than one (kind of) octahedron.
octillion	det	ordinal octillionth) The number 1,000,000,000,000,000,000,000,000,000
octillion	noun	The number 1,000,000,000,000,000,000,000,000,000
octillions	noun	The plural form of octillion; more than one (kind of) octillion.
octobers	noun	The plural form of October; more than one (kind of) October.
octodecillion	det	The number 10⁵⁷.
octodecillion	noun	The number 10⁵⁷.
octodecillions	noun	The plural form of octodecillion; more than one (kind of) octodecillion.
octopi	noun	The plural form of octopus; more than one (kind of) octopus.
octopus	noun	An octopus is an animal (a mollusc) that has eight arms.
octopuses	noun	The plural form of octopus; more than one (kind of) octopus.
ocular	adj	If something is ocular, it is related to the eye or vision.
ocular	adj	If something is ocular, it is looks like the eye.
oculi	noun	The plural form of oculus; more than one (kind of) oculus.
oculist	noun	An oculist is a doctor who treats the eyes.
oculists	noun	The plural form of oculist; more than one (kind of) oculist.
oculus	noun	An oculus is a round, eye-like opening or design element, most commonly found at the center of a dome or in a wall.
oculus	noun	A circular window or opening, famously seen at the top of the Pantheon dome in Rome, which lets in natural light and air.
odd	adj	If something is odd, it is not normal and usually you don't like it or don't understand it.
odd	adj	The odd time, drink, problem, etc. is one that happens sometimes, but not often.
odd	adj	An odd sock, boot, etc. is one without its pair.
odder	adj	The comparative form of odd; more odd.
oddest	adj	The superlative form of odd; most odd.
oddities	noun	The plural form of oddity; more than one (kind of) oddity.
oddity	noun	Something odd or unusual
oddly	adv	To do something oddly is to do it in an odd manner.
oddness	noun	The oddness of someone is how odd they are.
odds	noun	In statistics, the odds are the chance something will happen divided by the chance it will not happen:
odds	noun	In statistics, the odds are the chance something will happen divided by the chance it will not happen:
odds	noun	The odds of something happening are the chances it will happen.
odometer	noun	An odometer is an instrument that measures the distance a vehicle traveled.
odometers	noun	The plural form of odometer; more than one (kind of) odometer.
odor	noun	Something's odor is its smell, usually a bad smell.
odoriferous	adj	If something is odoriferous, it has a distinctive odor.
odorless	adj	If something is odorless, it does not have an odor.
odorous	adj	If something is odorous, it has a distinctive odor.
odors	noun	The plural form of odor; more than one (kind of) odor.
odour	noun	Something's odour is its smell, usually a bad smell.
odourless	adj	If something is odourless, it does not have an odor.
odours	noun	The plural form of odour; more than one (kind of) odour.
odyssey	noun	A long adventurous journey or trip.
odyssey	noun	An intellectual or spiritual journey or quest.
odysseys	noun	The plural form of odyssey; more than one (kind of) odyssey.
of	prep	From.
of	prep	Made using.
of	prep	Belonging to.
off	adv	Away from somewhere or some time.
off	adv	If something is off it is not on.
off	adv	Out of a vehicle such as a train, bus, etc.
off-	prefix	Away from.
off-limits	phrase	If an activity is off-limits, someone is not allowed to do it.
off-limits	phrase	If something is off-limits, someone is not allowed to access or use it.
off-limits	phrase	If a place or an area is off-limits, someone is not allowed to enter or access that place or area.
off-season	noun	In sports, an off-season is when no games in a particular sport are played.
offal	noun	Offal is the internal organs of an animal that is used as food.
offals	noun	The plural form of offal; more than one (kind of) offal.
offed	verb	The past tense and past participle of off.
offence	noun	An offence is an action that breaks the law.
offence	noun	When you give offence to someone, you do something that they don't like.
offence	noun	The offence is the person or team who is attacking.
offences	noun	The plural form of offence; more than one (kind of) offence.
offend	verb	An act when someone makes another person unhappy. To offend someone is to make them feel disgust.
offended	verb	The past tense and past participle of offend.
offender	noun	An offender is someone or something that does something wrong, usually someone who breaks the law.
offenders	noun	The plural form of offender; more than one (kind of) offender.
offending	verb	The present participle of offend.
offends	verb	The third-person singular form of offend.
offense	noun	An offense is an action that breaks the law.
offense	noun	When you give offense to someone, you do something that they don't like.
offense	noun	The offense is the person or team who is attacking.
offenses	noun	The plural form of offense; more than one (kind of) offense.
offensive	adj	Something offensive is mean, insulting, and unpleasant.
offensive	adj	If something is offensive, it has to do with a play where the team is trying to score.
offensive	noun	An attack.
offensively	adv	If something is done offensively, it is done in an offensive way.
offensiveness	noun	The offensiveness of something is how offensive it is.
offensives	noun	The plural form of offensive; more than one (kind of) offensive.
offer	noun	An offer is when you say you will do something or give something.
offer	verb	If I offer something to you, that means I will give it to you if you want.
offer	verb	If I offer to do something for you, that means I will do it for you if you want.
offered	verb	The past tense and past participle of offer.
offerer	noun	An offerer is a person or organization that makes an offer, especially in a business or legal agreement.
offerers	noun	The plural form of offerer; more than one (kind of) offerer.
offering	noun	An act of offering.
offering	noun	Something that has been offered; a sacrifice.
